u,g,r,i,z,redshift
18.50893,16.70466,15.88784,15.50545,15.1911,0.04365568
19.22261,17.88014,17.1988,16.82964,16.60049,0.06146619
20.47821,18.67412,17.75135,17.2654,16.86212,0.08480307
19.64747,18.21855,17.56975,17.29333,17.16623,-6.963853e-05
21.61068,20.61645,18.97544,18.28842,17.86973,0.4041336
17.83153,16.57689,15.87545,15.48445,15.24916,0.05746142
23.08715,21.31271,19.54412,18.81393,18.18709,0.2957726
19.15151,18.80017,18.3596,18.09472,17.86174,0.3359255
21.08511,21.00233,19.71578,18.98381,18.66974,0.5356799
22.98163,22.65454,21.4577,20.15161,19.60144,0.7400227
21.09015,18.94625,17.71963,17.18851,16.83207,0.1884156
20.42595,18.65431,17.78008,17.4208,17.11634,0.1303111
21.97392,22.35396,20.63141,19.60158,19.07956,0.5645511
21.59373,20.46803,20.11889,19.88271,19.58635,0.3369284
23.96867,22.23957,20.69992,19.90918,19.60379,0.3846599
21.78895,19.51125,18.21202,17.65677,17.86536,-9.154259e-05
25.56778,22.68826,22.33436,21.23604,22.80449,0.2910712
26.19174,23.46734,21.65064,20.35346,19.58255,0.7026652
18.59492,16.95503,16.37269,16.16935,16.08713,-0.0001707189
17.76043,15.86952,14.97741,14.54194,14.1925,0.02832675
24.11466,23.70658,22.51674,19.93424,18.14313,-1.691386e-05
24.90515,21.87976,20.3027,19.26884,18.83408,0.5009453
19.75997,18.34586,17.61087,17.2283,16.91944,0.1224924
23.73445,22.22079,20.44058,19.53975,19.00695,0.5531395
20.45096,18.59137,17.65098,17.22343,16.95946,0.1232931
20.04473,19.18675,18.8887,18.78856,18.78986,0.001092175
23.81116,20.76209,19.25438,18.44098,17.9584,-2.751122e-05
24.58696,22.7426,21.30106,20.16083,19.73582,0.6111485
23.48708,21.88343,20.21218,19.20422,18.74226,0.5214588
25.47359,22.69596,21.38274,20.31822,19.66256,0.527932
23.81795,23.09238,21.1427,19.97886,19.35588,0.6134906
25.26074,21.08018,19.05677,18.25892,17.80849,0.4752591
19.28666,19.21952,19.04372,19.14399,19.42164,0.0
19.90265,18.71705,18.3089,18.06878,17.97355,0.0408821
25.43136,24.67901,22.79629,19.81586,17.94437,-0.0001340196
19.90221,19.27758,19.0729,19.00998,18.84522,2.564061
20.41779,20.29264,20.2078,19.9683,20.4048,1.544978
22.61134,21.00032,20.70878,20.73848,20.79135,2.872345
19.11564,17.41779,16.52293,16.07238,15.73267,0.1130413
23.7392,21.29196,19.72388,19.10514,18.56075,0.296366
23.51284,21.82096,20.15907,19.53463,19.19553,0.3499059
22.88417,22.69677,21.32949,20.33648,19.56735,0.6095317
21.76365,21.21145,20.67485,20.19305,20.04759,1.66707
25.13605,21.89178,20.52283,18.46958,17.38741,0.0001859265
18.68893,17.42472,16.92468,16.73897,16.68702,4.789229e-05
22.21523,21.71377,21.53587,21.43355,20.80786,0.7687669
19.18529,18.64146,18.04491,17.67424,17.46566,0.237859
21.62359,20.8868,20.58885,20.43775,20.13505,2.363566
18.42429,18.41999,18.22218,18.20982,18.25633,1.234722
19.67892,19.25908,18.87621,18.53412,18.30108,1.972638
20.9713,20.85505,20.55624,20.6244,20.54631,1.14371
25.03525,21.90327,20.47836,19.41877,19.03272,0.5607538
22.02839,19.73705,18.27464,17.69009,17.26429,0.1977757
19.40874,18.4791,18.12697,18.00202,17.93316,-0.000805457
24.44532,23.11214,22.32348,21.37062,21.14296,0.8168913
21.74014,19.27121,17.78669,16.79077,16.23529,-1.679113e-05
21.28684,21.10712,20.55619,20.67032,20.74319,1.09281
21.93918,20.46972,18.80078,18.19087,17.85884,0.3199635
24.09947,22.30956,21.3341,20.57835,19.81772,0.5645927
18.69841,22.33687,21.80597,20.68479,19.81448,0.03993745
21.76307,21.94526,21.39281,21.92143,22.73141,1.343672
19.32009,17.39415,16.43258,16.02547,15.66301,0.1037334
20.74834,18.97048,17.77906,17.25716,16.90522,0.1551049
20.39648,20.2782,20.27602,20.06079,19.97876,1.930121
22.10811,21.86426,21.2162,21.02772,20.91042,1.08244
19.68857,17.62885,16.63618,16.22095,15.86577,0.09979396
23.82751,22.88018,21.06244,19.80657,19.15141,0.701973
23.1922,22.23682,20.56438,19.54756,19.12353,0.5282845
23.57406,22.25816,21.7125,21.55743,20.83735,0.693907
20.69613,18.29708,17.28365,16.92796,16.72802,-2.289327e-05
23.71457,22.91272,21.28083,20.26671,19.5554,1.143627
24.09142,22.86471,21.09365,19.96374,19.35348,0.5468746
24.58306,23.29601,21.42931,20.28487,19.76003,0.0343044
22.58673,21.96123,21.93685,22.08247,21.48598,0.0001014858
18.85558,18.24769,17.30923,16.86262,16.52611,0.2907273
18.95426,16.97128,15.96726,15.54505,15.19094,0.1069439
19.4208,17.78963,16.96659,16.59967,16.4216,0.0001470154
24.28704,23.293,22.79771,21.70436,21.10083,0.883831
24.96106,22.27946,20.72408,19.72093,19.22019,0.5049472
25.36239,24.52901,21.90255,20.74567,19.90873,0.7363564
24.10981,21.51096,20.01655,18.98721,18.68193,-9.503165e-05
19.21163,17.36925,16.5429,16.15119,15.92551,0.07833093
22.92272,23.36374,21.81776,20.73317,19.94593,0.5493633
24.36125,26.5183,22.75245,21.67256,18.57136,0.2892783
22.88669,23.54373,21.79996,20.53032,19.42874,0.8438418
20.71563,19.40388,18.89438,18.70344,18.56496,-0.0001331237
23.14381,22.56606,20.89861,19.72234,19.30934,0.5936367
24.50315,22.68775,20.68175,19.57108,19.24828,0.6065462
22.83775,22.53954,21.98499,21.14465,21.68752,0.7804685
21.65825,20.9873,20.72997,20.39512,19.89799,0.6527164
23.69367,21.50755,19.91388,19.00725,18.47356,0.4832849
21.39174,20.78365,20.57406,20.61868,20.48267,-0.0005765205
19.88454,18.58277,17.80508,17.38395,17.10654,0.1671013
18.45831,16.60541,15.77907,15.36893,15.0834,0.0522996
18.86663,17.9787,17.63968,17.48221,17.49235,0.0004009956
21.65109,21.48042,21.41802,21.98386,21.28262,0.9897529
20.09834,19.67447,19.6538,19.39596,19.33348,0.558745
18.40674,17.02243,16.34827,15.98872,15.70474,0.0281338
22.41921,21.87333,21.7168,21.51822,22.02715,2.456142
22.16193,21.97564,21.67379,21.716,20.95928,0.9207289
21.6573,21.27616,20.93633,21.00522,20.78172,1.045199
22.50912,22.22562,22.08776,22.01451,21.67271,1.318593
24.24145,23.75454,22.65292,21.06225,19.93269,-7.50693e-06
22.81695,21.70208,20.39842,19.3303,18.80961,0.5882679
23.10707,20.8048,19.22012,17.71359,16.85739,7.837774e-05
21.4769,21.07465,20.86334,20.59395,20.7051,1.565087
23.79076,22.71409,21.37539,20.36968,19.53465,0.5798183
22.84695,22.97861,21.01675,19.90928,19.40424,0.6065078
24.22714,22.4466,20.67458,19.61057,19.16817,0.565739
22.81258,22.91581,21.81618,22.94037,21.89796,0.1496915
17.46527,16.32126,15.98541,15.86824,15.80881,0.0005290865
22.55465,22.0923,20.27883,19.45537,18.87721,0.4655923
23.35649,22.66158,20.9707,19.95881,19.3876,0.5414953
21.9006,20.65938,19.00896,18.35388,18.02154,0.3513822
22.70105,23.46136,21.36801,20.15953,19.47852,0.6519497
22.77236,22.88372,21.02592,19.8997,19.44858,0.5519027
26.62116,20.91081,19.09638,18.34093,17.74354,0.4165173
22.80155,21.32209,20.0834,19.4046,19.02985,0.0001066773
22.62355,21.94298,21.83023,21.44312,21.19651,0.7137707
22.63349,22.65244,20.74234,19.50038,18.84925,0.6591189
19.21515,18.20545,17.8681,17.7408,17.67252,-0.0007201091
17.49446,15.7406,15.0721,14.86232,14.77755,0.0001125753
25.05282,22.51505,20.68408,20.19102,20.00139,0.3309936
22.92071,21.84583,21.74639,21.75721,20.97661,6.439345e-05
23.88197,22.10099,20.49911,19.48551,18.97651,0.5687135
24.88719,22.67965,21.24143,20.10148,19.84969,0.4843026
20.90151,21.00039,20.65654,20.60088,20.89948,1.340868
23.40878,21.5014,20.55104,19.93062,19.4339,0.9479849
23.16233,22.00382,21.94783,21.90006,21.94578,0.4775728
22.25501,21.75002,21.55243,21.18461,20.98066,5.83679
20.09956,19.17132,18.73768,18.5512,18.50651,-6.024597e-05
25.38247,22.55461,21.26733,20.12067,20.55432,0.5229161
20.41206,19.33223,18.8795,18.73196,18.6611,-0.001010023
23.41684,21.272,19.71555,19.07061,18.66715,0.000115849
23.58139,22.89339,21.82937,21.14159,20.77642,1.447111
19.64379,17.90452,16.71583,16.1614,15.78197,0.1612352
21.59373,19.4867,17.99872,17.45322,17.09128,0.2496782
22.26482,21.64762,19.63304,18.84296,18.43637,0.4684339
21.97387,22.10432,21.80298,21.44331,22.11148,1.771467
21.05133,22.03644,20.61967,20.494,20.59122,1.117258
24.38588,22.60608,21.88345,22.15095,22.41475,2.805734
21.8343,21.02472,20.70562,20.57927,20.43453,2.580795
19.77879,17.59312,16.62993,16.17578,15.85581,0.08167566
20.08621,19.01979,18.98422,19.01298,19.11868,-0.0002809626
23.52535,21.39295,20.87468,20.7868,20.66528,0.0005482741
24.99455,19.93823,18.36289,17.78189,17.39394,0.2831826
21.28479,18.63245,17.55252,17.15474,16.94461,0.0001224274
20.13161,18.37106,17.33867,16.8791,16.53941,0.1639405
21.28101,20.24913,19.89416,19.85472,19.64902,-0.0005637268
20.77192,20.56035,20.43294,20.45025,20.15323,0.8015198
22.76434,23.73503,21.16283,20.05976,19.32441,0.5247753
21.71914,20.92043,20.74657,20.62745,20.72898,2.382661
26.05167,23.20568,21.40027,19.83632,19.04711,0.0001691985
20.52766,19.9016,19.71941,19.78516,19.29395,0.7107443
17.99123,16.4718,15.90767,15.5117,15.25677,0.05829316
21.62134,19.50496,18.03042,16.7361,16.04404,4.867667e-05
22.37726,21.72184,21.9597,21.45085,21.33426,1.718457
23.19955,21.83616,20.22979,19.34646,18.68618,0.4775985
23.74248,23.67387,21.73308,20.81724,19.90077,0.7824289
25.54467,22.59375,20.89603,19.82286,19.64007,0.5166004
20.95703,20.34474,20.38243,20.15046,20.05496,2.222611
19.84311,17.78772,16.70656,16.2419,15.87311,0.1357473
20.19879,18.69337,17.78191,17.32973,16.96651,0.1345995
22.17384,21.57312,21.44547,21.38932,21.2007,-0.0002030026
22.14224,21.73783,21.31928,20.83643,20.17619,0.7541691
22.4051,20.8938,20.60348,20.47966,20.4423,-0.001115242
24.56881,21.01817,20.39973,20.35695,20.12712,3.395628
19.61926,17.4537,16.35467,15.90895,15.53379,0.1332797
19.22626,18.30976,18.03816,17.92637,17.90057,-0.0002842768
19.77155,18.2308,17.3335,16.89646,16.57733,0.1351968
20.75704,20.40364,20.2329,20.13198,20.23373,1.497181
19.16815,18.17712,17.86283,17.74208,17.70526,-0.0009787049
24.53973,21.56603,19.71336,18.88914,18.39834,0.4605085
19.46818,18.03967,17.0193,16.50855,16.17736,0.1140226
20.55823,20.44093,20.25611,20.30565,20.11292,1.01187
24.81088,22.90828,21.27903,20.0388,19.38774,0.6474729
22.7512,21.90661,20.25541,19.41276,18.96233,0.4845631
20.49632,18.78948,17.6209,17.03105,16.65785,0.2108698
23.31001,22.1213,20.90443,19.8099,19.55787,0.6698323
18.12713,16.51987,15.78623,15.40388,15.12937,0.03286429
21.59242,20.9664,20.92391,20.80236,20.43522,2.497794
19.33676,18.43235,18.15624,18.02983,18.01845,-0.0002163461
25.38584,22.03112,20.08683,19.34456,19.09935,1.239616
18.0625,16.47834,15.76372,15.33385,15.06339,0.06239139
22.83241,20.99485,19.16475,18.44113,17.95137,0.4198232
21.43129,20.11202,19.36667,18.87146,18.52875,0.1865662
17.58636,16.55747,16.23842,16.09514,15.98957,0.02034181
19.67995,17.80532,16.79429,16.36885,16.01175,0.1087148
19.19991,18.24198,17.9488,17.82873,17.80138,-0.0008896565
23.43952,21.04138,19.71135,19.16911,18.75527,0.255048
23.33137,22.35865,20.47422,19.60984,19.13495,0.4828115
20.89941,18.93734,17.68451,17.14003,16.82305,0.3011915
21.62724,19.65838,18.21961,17.64133,17.31519,0.2302136
20.72185,20.55906,20.30706,20.33756,20.29546,1.17634
22.63558,21.4603,20.04742,19.22566,18.79873,0.4744509
22.86761,21.2879,20.4885,19.60504,19.04195,0.1347984
23.1797,22.19172,20.39717,19.29473,18.78919,0.5798816
19.3519,17.9339,17.19232,16.76381,16.44938,0.04923682
23.26892,20.94755,19.17309,18.55426,18.11183,0.338944
22.3956,20.88108,19.16217,18.52946,18.09153,0.3457472
20.33223,18.53589,17.37134,16.84535,16.524,0.2020625
19.98097,18.65061,18.05655,17.79476,17.69814,-1.289441e-05
26.4675,22.33438,21.08692,20.31941,20.20706,0.3181895
20.91316,25.11439,18.06119,18.69092,19.10832,6.453491e-05
23.42725,21.6852,20.04623,19.26177,18.79074,0.4257182
18.41152,17.41856,17.03835,16.8924,16.81464,-0.0005392828
24.10538,22.19894,22.15862,21.55896,22.56839,0.7237302
18.4793,17.11905,16.50157,16.25253,16.09135,-0.0005613724
24.33821,22.32375,20.37736,19.49987,19.08244,0.4761761
18.67618,16.98857,16.31397,16.02893,15.88177,-0.0002515602
25.00272,20.32543,18.60074,17.97695,17.59216,0.3154798
20.2316,19.57192,19.43046,19.30875,19.07011,2.349821
24.55127,22.21441,20.32772,19.38013,18.93364,0.5274774
25.14964,22.62957,21.32221,19.8823,19.18998,-7.457712e-05
20.00821,18.16204,17.19044,16.75068,16.39931,0.08786388
19.69219,17.92327,16.99008,16.51986,16.17528,0.09061342
24.07907,22.21678,20.57399,19.71625,19.3998,0.4603674
21.24844,18.69435,17.76503,17.47225,17.13688,-3.162701e-05
26.68095,22.73119,20.78795,19.59664,19.1206,0.6024336
22.80252,21.47671,21.32053,20.99625,21.57192,0.0001828079
17.76528,15.81771,14.92229,14.49745,14.16496,0.02503143
24.23745,20.98246,19.12982,18.46885,18.03462,0.4089549
18.02317,17.09251,16.82004,16.71879,16.68543,-0.001194979
20.83785,18.83404,18.09495,17.83777,17.68413,0.0002843752
22.67062,21.08077,19.29595,18.63308,18.21577,0.3891208
22.27331,19.55392,18.05414,17.48702,17.12291,0.285117
26.01049,23.24728,21.6979,20.67543,19.79188,0.6499593
20.26139,19.23905,18.93565,18.8368,18.9202,-0.0008504106
21.1287,19.26408,18.23417,17.77249,17.61496,8.349962e-05
20.75632,18.77794,17.27592,16.7261,16.29304,0.2258814
19.71759,18.92967,18.23239,17.06346,16.34139,2.685239e-05
23.86028,21.71763,21.41317,21.39524,21.00938,2.984183
23.59077,19.92826,18.43314,17.81625,17.40181,0.2781368
19.74456,17.81449,16.81717,16.35682,15.98993,0.08349822
22.82734,22.82433,22.06846,21.36881,20.61592,0.7576148
23.10591,22.31371,20.96852,19.90928,19.23019,0.0003917982
21.97375,19.50174,17.75103,17.12225,16.75718,0.3366733
20.7704,18.81136,17.58149,17.10099,16.76589,0.193693
23.29112,24.89989,21.50371,20.49879,19.62643,0.5794739
23.49773,22.02004,22.18455,22.27176,21.92638,2.262249
26.48645,22.02912,20.31576,19.22851,18.69249,0.5533955
24.37839,20.40441,19.17855,18.70037,18.3622,0.2173159
22.45024,21.6679,20.46326,19.617,19.18638,0.5129404
19.39894,17.41168,16.64261,16.37101,16.22265,-6.228986e-05
19.95518,18.61076,17.64878,17.12787,16.77135,0.2164368
26.20767,21.1368,19.49794,18.62603,18.14661,0.4622885
22.15043,21.22017,20.14071,19.38606,18.92429,0.5905075
24.69727,23.49035,21.41269,20.30304,19.62433,0.6391278
22.02067,21.38721,20.20718,19.28578,18.84818,0.6459006
21.35575,20.48683,20.22042,20.22421,20.03574,2.5825
18.9432,16.83001,15.9823,15.69096,15.55209,-3.284066e-05
15.86597,14.68348,14.84067,14.96872,15.12069,-0.0001568695
20.30911,18.51073,17.62664,17.24089,16.96753,0.06801799
23.93202,22.73068,21.04946,19.98663,19.48563,0.5535699
21.34636,21.05515,20.84684,20.87295,20.48467,0.8967765
22.50805,21.98371,21.74799,21.8321,21.96272,-0.0003687404
22.21454,21.42386,19.55606,18.85464,18.46306,0.3895199
24.0154,21.51492,21.12937,20.87387,20.82161,1.060983e-05
21.80359,21.8219,21.67947,21.31866,20.75642,0.8233776
25.33854,23.54495,21.46272,20.46807,19.72461,0.7198658
21.35985,21.11705,20.97769,20.83322,20.73899,0.8232287
23.50047,20.40916,18.81855,18.22517,17.89708,0.3161849
19.52532,18.54759,18.13629,18.00301,17.92155,0.000324641
20.94444,18.8481,17.67747,17.19618,16.88009,0.1791623
24.73295,24.65464,21.94215,20.75687,19.89861,0.6692639
25.72951,23.515,21.25065,20.10535,19.61563,0.5653436
22.60914,22.17917,21.56708,21.03067,21.89103,0.7325637
21.20949,19.31314,17.84646,17.29326,16.94183,0.2745928
22.60537,22.42245,21.01743,19.81923,19.20348,0.7145402
23.80666,22.5151,21.86364,21.02556,20.17949,0.776472
20.88917,18.53609,17.3869,16.88402,16.54282,-1.805171e-05
23.83543,23.99755,21.34158,20.05008,19.39059,0.7314726
24.89006,22.91898,21.85161,20.70348,20.47789,-0.0003033242
22.57265,21.94774,21.88442,21.54167,21.84764,1.522815
23.38751,21.78675,20.33452,19.50328,18.85403,0.4951354
20.82007,18.85272,17.5414,17.03879,16.66144,0.1937183
20.37355,18.92261,18.27606,18.03141,17.84861,-0.0001186644
25.80981,21.24633,19.49859,18.72189,18.39815,0.4201542
18.8437,17.59415,17.09234,16.83886,16.7229,-0.0002990515
25.60238,22.83522,21.25261,19.00025,17.78506,-0.0001868739
21.29531,21.01595,20.53559,20.41611,20.00102,1.106568
24.51985,22.46431,22.58425,21.61768,21.16825,0.7468526
20.34308,20.12892,20.34323,20.63153,21.02014,-7.307511e-05
23.38613,22.07433,21.89105,20.86013,21.35277,0.8603485
24.43216,21.37402,19.59373,18.70333,18.14721,0.5029468
21.17935,20.72709,20.39414,20.03403,20.12047,1.595841
25.61399,23.22746,21.17063,19.54935,19.27059,0.6602999
24.89464,23.10608,21.53112,20.35504,19.61873,0.6657676
22.52633,21.66913,21.48851,21.29762,20.90843,2.317981
20.47323,18.02262,16.94195,16.51251,16.24351,-0.0001012661
23.06751,20.63041,18.90688,18.29433,17.79564,0.3383737
20.53346,19.26572,18.18077,17.16085,16.59729,-0.000113347
20.27067,18.42082,17.54169,17.14459,16.83012,0.07691687
15.82282,14.27125,13.56969,13.19298,12.87341,0.03675798
24.02202,23.34848,21.45785,20.14637,19.40543,0.7039297
18.14371,16.8347,16.18179,15.78202,15.56371,0.06676584
20.75323,19.89614,19.67377,19.48711,19.34726,2.384247
21.21551,20.37946,20.31441,20.25117,20.38556,0.0001390264
19.32712,18.37716,18.08168,17.94457,17.9092,0.000684957
24.29193,25.58479,22.29111,20.87547,19.66223,0.7963345
22.5028,21.95141,20.50931,19.69548,19.25096,0.5222309
20.56774,20.01145,19.77454,19.75162,19.67606,-0.001346794
21.27764,20.44842,20.00106,19.73362,19.81916,1.485979
23.046,22.65742,20.66737,19.60536,19.09812,0.5329361
20.57831,20.14972,19.51534,19.22601,19.15954,1.317615
23.27242,23.35306,22.29844,21.55365,20.35561,0.8705671
24.74794,23.42929,21.50325,20.71102,20.49505,0.6402602
23.8699,23.23896,22.61568,20.74011,19.96491,0.7893784
23.50418,23.60126,21.1025,20.06922,19.55917,0.6523636
19.19485,17.7933,17.10943,16.67596,16.45808,0.07822898
23.22983,24.37694,22.38206,20.81809,19.87171,0.8414674
23.37022,21.13686,19.59792,18.34891,17.6423,-0.0001746731
25.30369,23.12309,22.51839,22.51847,21.07836,0.9607179
22.05752,21.50201,21.54583,21.87191,21.47696,0.000286923
25.37286,21.91232,20.4942,19.2386,18.80327,0.5833227
21.86012,20.05755,19.87664,19.8693,19.84426,3.095931
20.27705,19.96618,19.82044,19.66165,19.43632,1.939476
24.29257,22.66669,20.84464,19.91667,19.50484,0.5389004
19.18572,17.14504,16.23077,15.86959,15.61496,-0.0002192873
26.02321,22.46232,20.95642,19.9172,19.67733,0.52535
23.55961,22.85273,21.48423,20.38606,19.44241,0.7158693
18.83045,17.3284,16.53827,16.08702,15.80218,0.07718759
22.86884,21.60573,21.42789,21.50681,21.40566,2.791033
26.04352,23.49044,21.85749,20.52583,19.59748,0.7475947
22.89002,21.93285,22.1959,22.09504,21.75451,1.071269
19.58872,18.42926,17.96441,17.62395,17.48824,0.08537674
25.91132,21.85879,19.91936,18.90556,18.43962,0.5357332
18.9917,18.01347,17.55578,17.16493,17.05152,0.08309618
19.04492,18.16155,17.82473,17.66772,17.61887,0.0004182885
20.22149,19.73174,19.67635,19.77802,19.71654,0.7210731
22.55085,22.43299,21.55628,21.35947,20.0246,0.9496661
25.1888,23.53343,21.18562,19.88773,19.24518,0.6582735
27.25077,22.89978,20.02872,18.87456,18.5279,0.7498706
22.77813,21.16276,19.71339,18.71094,18.22874,0.0001428333
22.38211,20.34291,18.83596,18.07309,17.60876,5.150598e-05
23.27918,22.74807,21.90968,21.12851,20.65714,0.882349
22.95345,22.04189,20.35172,19.49183,19.0303,0.4879702
22.47817,21.73749,20.24544,19.2962,18.88398,0.5070577
20.12084,17.84871,16.88251,16.54117,16.34646,-7.644692e-05
20.96528,18.89997,17.75484,17.27057,16.95235,0.1686907
19.95929,18.38432,17.71571,17.47432,17.35985,-2.689044e-05
23.15792,21.80494,21.69079,21.71116,21.0132,1.21733
26.16839,22.3022,20.56207,20.34557,20.0231,3.950706
25.27259,21.85617,20.21633,19.64493,19.43228,0.373715
23.79218,21.95611,20.25576,19.25139,18.61607,0.5236405
20.1176,18.81978,18.6128,18.4756,18.48144,2.978807
24.30568,23.18336,21.17026,19.97541,19.34002,0.6771296
25.6078,24.37543,21.61383,20.37033,19.6418,0.7516141
20.81904,18.64036,17.4935,17.00249,16.67715,0.1661631
20.6722,18.38918,17.21667,16.72856,16.34922,0.1717775
24.72355,20.61712,18.77717,18.0829,17.61508,0.3697492
23.27316,22.19315,20.58136,19.5346,19.00393,0.6252105
25.84715,22.37935,20.42676,19.60117,19.11228,0.448629
21.68217,19.20544,17.63618,17.01176,16.57657,0.2603633
25.53872,23.31843,21.52528,20.22444,19.74002,0.5100509
22.34395,20.17503,18.57945,18.00611,17.64686,0.2869369
25.75646,27.14443,27.59332,15.38752,25.1539,-0.0001062905
20.55036,18.37355,17.4481,17.08953,16.91028,3.890383e-05
21.51239,19.62092,18.11623,17.48835,17.13578,0.243267
20.10725,17.96374,16.65285,16.16735,15.81855,0.1886867
21.07448,19.89675,19.22548,18.95844,18.78964,-0.0003235286
23.1737,22.24278,20.9051,19.79471,19.45461,0.6422607
25.56589,22.46288,21.68663,21.14928,20.461,0.8123177
25.37685,22.82346,21.42193,20.23501,19.77309,0.591837
22.01966,19.81328,18.81223,18.38512,18.36755,0.0001163849
26.91778,23.307,22.66506,21.32036,19.97026,0.001456211
22.37622,20.34612,18.61824,18.0451,17.65209,0.3437896
24.08807,21.92567,20.37858,19.48851,19.06783,0.592208
20.63759,20.09477,20.14478,20.13091,19.96362,2.304775
23.67178,21.63363,20.0035,19.05651,18.5639,0.4861427
24.33759,21.702,20.23762,19.57711,19.18666,0.2740724
22.9016,22.08676,20.86002,19.85463,19.41495,0.6587145
22.1628,22.12281,21.58029,20.94674,20.89865,0.7051676
18.98558,18.09923,17.72927,17.56551,17.48496,9.250849e-05
20.13523,18.37167,17.46114,17.03131,16.70134,0.07058769
20.71359,18.11901,16.89811,16.43618,16.21101,7.583298e-05
23.58719,21.01935,20.60852,20.90932,20.97585,3.095433
18.65419,17.65794,17.0791,16.71182,16.55046,0.1648916
24.18148,22.52701,20.79983,19.71122,19.32119,0.5567811
19.46367,18.24172,17.63067,17.30924,17.10069,0.1538144
21.0425,21.11469,21.14381,20.84979,21.46227,2.022175
19.58787,17.61003,16.63634,16.23298,15.90388,0.1194547
25.44297,22.27488,20.65127,19.75592,19.04232,0.5423663
21.30329,20.53192,20.25262,20.14695,20.08179,-0.0004040652
22.81494,21.70105,20.36607,19.61359,19.19854,0.479439
20.70946,20.39038,20.33348,20.07585,20.15756,1.829042
22.72376,22.31323,20.86134,19.87007,19.19468,0.649483
21.49958,20.64808,20.48613,20.41485,20.23444,-0.0004395804
24.95328,22.00435,20.43775,19.58361,19.13328,0.4785815
20.23415,19.25699,18.75125,18.54886,18.40785,0.0003065411
20.03963,20.02164,19.91582,19.57435,19.42374,1.834843
22.7313,22.63556,21.96876,20.71301,20.38014,0.8947773
24.44259,22.31646,21.91689,21.39212,20.80284,1.610253
23.53044,22.16077,20.63777,19.78151,19.40993,0.5451486
23.7391,21.05322,19.98106,19.07387,18.93539,0.3341915
22.42898,21.77214,20.6834,19.81947,19.91206,0.6521321
21.85124,19.4677,18.07706,17.45544,16.97566,0.2328131
26.05339,21.70292,19.97325,19.17402,18.63321,0.4922606
20.60148,20.20491,20.42021,20.56148,20.87784,-0.0003875902
18.10947,17.17278,16.89233,16.77881,16.72841,4.275496e-05
22.49752,20.70522,18.98892,18.42511,17.96878,0.3884129
20.19932,18.12844,17.05645,16.6063,16.21394,0.1308089
21.57654,19.40749,17.94158,17.38311,17.0051,0.202326
24.66253,21.8775,21.76845,21.59688,21.06626,2.393114
16.89545,15.64078,15.23161,15.07298,15.00219,-0.0001230573
22.62835,22.4608,20.63878,19.66299,19.17627,0.4948799
21.43241,19.32071,18.01005,17.48335,17.14454,0.2366156
20.37134,20.31252,20.39013,20.02342,19.85261,1.791224
23.80657,21.69685,20.28027,19.64711,19.26188,8.233736e-06
21.51567,18.60955,17.34502,16.81192,16.19379,0.1222216
22.22966,20.24178,19.05282,18.5067,18.22784,9.203815e-05
25.69446,21.87428,20.08447,19.06335,18.54815,0.5264845
23.82991,21.78038,19.78765,19.5436,18.9143,0.2785009
22.01129,21.42978,21.33104,21.4527,21.00415,2.193366
25.30527,20.5827,19.78563,19.38027,19.15196,-0.0005337513
20.19684,18.49383,17.46832,17.04452,16.68762,0.1266491
23.01103,22.57766,20.98832,19.87094,19.28863,0.5813109
23.97397,24.00627,21.65661,20.48752,19.42762,0.2424677
22.97452,22.55586,21.11078,20.05537,19.59412,0.5422333
23.42858,19.13533,17.85852,17.26204,17.20071,0.3138287
17.15737,16.31553,15.99911,15.83474,15.6514,0.02827503
20.49532,20.10987,20.07762,19.8743,20.04075,0.6118618
19.8341,18.34498,17.50229,16.96302,16.63413,0.1078321
19.09295,18.10611,17.64286,17.3712,17.20176,0.1061169
22.06586,20.52057,20.01528,19.86966,19.85381,-0.000295708
17.84073,16.87915,16.52456,16.37825,16.33879,-0.0001817068
23.03464,22.35213,21.49302,20.93375,20.80631,0.6445319
22.09358,21.932,21.72162,21.53733,21.693,1.942583
17.69302,16.13796,15.56653,15.38296,15.31605,-0.0001511718
21.05117,20.96653,20.72245,20.54744,20.11977,1.124992
19.76746,18.41434,17.7601,17.45081,17.28016,-0.0002155069
19.92872,18.68554,18.27922,18.10133,18.07319,0.0001641299
24.03888,23.15312,21.1007,20.01883,19.60744,0.5377038
24.28747,22.44734,20.79342,20.13509,19.88697,0.3936006
22.91599,21.88526,21.60454,21.34901,21.11783,0.7436973
17.65566,16.67083,16.2879,16.11449,16.05969,-0.000806691
20.23498,18.4242,17.42025,17.00253,16.63102,0.1120022
20.20512,19.62553,19.46221,19.23629,18.98518,2.074733
18.68761,17.42693,17.34004,17.33016,17.33578,-5.486834e-07
24.41096,21.27325,19.37038,18.74064,18.25377,0.4101384
24.00979,22.39592,21.89447,21.98885,21.37145,-0.000203119
25.96657,23.80755,21.44316,20.11697,19.38786,0.7560126
22.06711,22.89046,21.29845,20.13075,19.57386,0.5656089
19.60272,19.2729,18.88605,18.74845,18.72665,1.351312
21.29347,20.83374,20.64301,20.41871,20.00975,1.48724
19.82427,19.28075,19.07553,19.06345,18.79349,2.325323
19.70178,19.2986,18.96274,18.66815,18.55648,1.655222
20.50509,20.1791,20.06636,19.99921,19.69023,0.7580301
